date,state,fips,cases,deaths
10/1/2020,Puerto Rico,72,49067,665
10/2/2020,Puerto Rico,72,49747,673
10/3/2020,Puerto Rico,72,50375,681
10/4/2020,Puerto Rico,72,50675,686
10/5/2020,Puerto Rico,72,51305,695
10/6/2020,Puerto Rico,72,51737,696
10/7/2020,Puerto Rico,72,51768,705
10/8/2020,Puerto Rico,72,52294,715
10/9/2020,Puerto Rico,72,52892,720
10/10/2020,Puerto Rico,72,53364,728
10/11/2020,Puerto Rico,72,53671,730
10/12/2020,Puerto Rico,72,54234,735
10/13/2020,Puerto Rico,72,54540,738
10/14/2020,Puerto Rico,72,55516,742
10/15/2020,Puerto Rico,72,56085,743
10/16/2020,Puerto Rico,72,56412,758
10/17/2020,Puerto Rico,72,56650,761
10/18/2020,Puerto Rico,72,57293,766
10/19/2020,Puerto Rico,72,57950,768
10/20/2020,Puerto Rico,72,58643,769
10/21/2020,Puerto Rico,72,58830,774
10/22/2020,Puerto Rico,72,59037,783
10/23/2020,Puerto Rico,72,60984,791
10/24/2020,Puerto Rico,72,61280,794
10/25/2020,Puerto Rico,72,62503,801
10/26/2020,Puerto Rico,72,63135,804
10/27/2020,Puerto Rico,72,63497,808
10/28/2020,Puerto Rico,72,63587,813
10/29/2020,Puerto Rico,72,64798,814
10/30/2020,Puerto Rico,72,65743,820
10/31/2020,Puerto Rico,72,66128,822
